ID,住所,住所（丁目）,住所（番地等）,原因（特定できた場合のみ記載）,被害,発生年月日,branch1,branch2,address,x,y,year
409,柏,,1149付近,台風18号,道路冠水,2014年10月6日,1149,,千葉県柏市柏1149 ,139.99092,35.86469,2014
410,柏,,1242付近,台風26号,床下浸水,2013年10月16日,1242,,千葉県柏市柏1242 ,139.99156,35.86278,2013
411,柏,,1277付近,台風9号,道路冠水,2016年8月22日,1277,,千葉県柏市柏1277 ,139.98517,35.86054,2016
412,柏,,1312付近,集中豪雨,床下浸水,2003年10月14日,1312,,千葉県柏市柏1312 ,139.98732,35.85839,2003
413,柏下,,4付近,大雨,道路冠水,2016年7月15日,4,,千葉県柏市柏下4 ,139.98936,35.86632,2016
414,柏下,,93付近,大雨,道路冠水,2021年3月13日,93,,千葉県柏市柏下93 ,139.9856,35.8679,2021
415,柏下,,135付近,台風26号,店舗浸水,2013年10月16日,135,,千葉県柏市柏下135 ,139.98512,35.87074,2013
416,柏下,,163付近,大雨,道路冠水,2021年3月13日,163,,千葉県柏市柏下163 ,139.98279,35.86998,2021
417,柏下,,柏ふるさと大橋付近,台風21号,道路冠水,2002年10月1日,,柏ふるさと大橋,千葉県柏市柏下 柏ふるさと大橋,139.9838,35.87001,2002
418,柏の葉,,7付近,大雨,道路冠水,2006年10月6日,7,,千葉県柏市柏の葉7 ,139.9429,35.89143,2006
419,金山,,746付近,大雨,道路冠水,2015年10月1日,746,,千葉県柏市金山746 ,140.03448,35.82657,2015
420,金山,,770付近,台風26号,道路冠水,2013年10月15日,770,,千葉県柏市金山770 ,140.03047,35.82412,2013
421,金山,,770付近,大雨,道路冠水,2015年9月7~8日,770,,千葉県柏市金山770 ,140.03047,35.82412,2015
422,金山,,839付近,台風26号,道路冠水,2013年10月16日,839,,千葉県柏市金山839 ,140.03065,35.82677,2013
423,金山,,839付近,台風26号,床下浸水,2013年10月16日,839,,千葉県柏市金山839 ,140.03065,35.82677,2013
424,北柏,1,6付近,,道路冠水,1999年10月27日,6,,千葉県柏市北柏1-6 ,139.98589,35.87489,1999
425,北柏,1,6付近,大雨,道路冠水,2000年7月2日,6,,千葉県柏市北柏1-6 ,139.98589,35.87489,2000
426,北柏,1,6付近,台風3号,道路冠水,2000年7月7日,6,,千葉県柏市北柏1-6 ,139.98589,35.87489,2000
427,北柏,1,7付近,大雨,道路冠水,2006年7月14日,7,,千葉県柏市北柏1-7 ,139.98555,35.87438,2006
428,北柏,1,7付近,集中豪雨,店舗浸水,2007年6月10日,7,,千葉県柏市北柏1-7 ,139.98555,35.87438,2007
429,北柏,1,7付近,集中豪雨,道路冠水,2007年6月10日,7,,千葉県柏市北柏1-7 ,139.98555,35.87438,2007
430,北柏,1,7付近,台風18号,道路冠水,2009年10月8日,7,,千葉県柏市北柏1-7 ,139.98555,35.87438,2009
431,北柏,1,7付近,台風26号,道路冠水,2013年10月16日,7,,千葉県柏市北柏1-7 ,139.98555,35.87438,2013
432,北柏,1,7付近,台風18号,道路冠水,2014年10月6日,7,,千葉県柏市北柏1-7 ,139.98555,35.87438,2014
433,北柏,1,8付近,集中豪雨,店舗浸水,2007年6月10日,8,,千葉県柏市北柏1-8 ,139.98483,35.87467,2007
434,北柏,1,8付近,集中豪雨,店舗浸水,2007年6月10日,8,,千葉県柏市北柏1-8 ,139.98483,35.87467,2007
435,亀甲台町,1,6付近,,道路冠水,1996年7月3日,6,,千葉県柏市亀甲台町1-6 ,139.98216,35.84834,1996
436,亀甲台町,1,18付近,,道路冠水,1990年9月30日,18,,千葉県柏市亀甲台町1-18 ,139.98071,35.84853,1990
437,亀甲台町,1,24付近,集中豪雨,床下浸水,2008年8月30日,24,,千葉県柏市亀甲台町1-24 ,139.97951,35.84937,2008
438,五条谷,,134付近,大雨,道路冠水,2014年6月7日,134,,千葉県柏市五条谷134 ,140.01764,35.851,2014
439,五条谷,,134付近,大雨,道路冠水,2015年9月7~8日,134,,千葉県柏市五条谷134 ,140.01764,35.851,2015
440,酒井根,1,1付近,台風18号,道路冠水,1991年9月19日,1,,千葉県柏市酒井根1-1 ,139.96298,35.82576,1991
441,酒井根,1,1付近,集中豪雨,道路冠水,2007年6月10日,1,,千葉県柏市酒井根1-1 ,139.96298,35.82576,2007
442,酒井根,1,1付近,集中豪雨,床下浸水,2007年6月10日,1,,千葉県柏市酒井根1-1 ,139.96298,35.82576,2007
443,酒井根,1,4付近,台風18号,道路冠水,1991年9月19日,4,,千葉県柏市酒井根1-4 ,139.96581,35.82325,1991
444,酒井根,1,4付近,集中豪雨,床下浸水,2008年8月30日,4,,千葉県柏市酒井根1-4 ,139.96581,35.82325,2008
445,酒井根,1,7付近,集中豪雨,道路冠水,2008年8月30日,7,,千葉県柏市酒井根1-7 ,139.96541,35.82305,2008
446,酒井根,1,7付近,集中豪雨,床上浸水,2008年8月30日,7,,千葉県柏市酒井根1-7 ,139.96541,35.82305,2008
447,酒井根,1,8付近,集中豪雨,店舗浸水,2008年8月30日,8,,千葉県柏市酒井根1-8 ,139.9648,35.82301,2008
448,酒井根,1,9付近,集中豪雨,床下浸水,2007年6月10日,9,,千葉県柏市酒井根1-9 ,139.96439,35.82322,2007
449,酒井根,1,9付近,集中豪雨,床下浸水,2007年6月10日,9,,千葉県柏市酒井根1-9 ,139.96439,35.82322,2007
450,酒井根,1,9付近,集中豪雨,床下浸水,2008年8月30日,9,,千葉県柏市酒井根1-9 ,139.96439,35.82322,2008
451,酒井根,1,9付近,集中豪雨,床下浸水,2008年8月30日,9,,千葉県柏市酒井根1-9 ,139.96439,35.82322,2008
452,酒井根,1,9付近,集中豪雨,床下浸水,2008年8月30日,9,,千葉県柏市酒井根1-9 ,139.96439,35.82322,2008
453,酒井根,1,9付近,集中豪雨,床下浸水,2008年8月30日,9,,千葉県柏市酒井根1-9 ,139.96439,35.82322,2008
454,酒井根,1,9付近,大雨,道路冠水,2011年8月26日,9,,千葉県柏市酒井根1-9 ,139.96439,35.82322,2011
455,酒井根,1,10付近,大雨,道路冠水,2002年9月12日,10,,千葉県柏市酒井根1-10 ,139.96378,35.82317,2002
456,酒井根,1,10付近,集中豪雨,床下浸水,2008年8月30日,10,,千葉県柏市酒井根1-10 ,139.96378,35.82317,2008
457,酒井根,1,10付近,集中豪雨,床下浸水,2008年8月30日,10,,千葉県柏市酒井根1-10 ,139.96378,35.82317,2008
458,酒井根,1,10付近,集中豪雨,床下浸水,2008年8月30日,10,,千葉県柏市酒井根1-10 ,139.96378,35.82317,2008
459,酒井根,2,31付近,大雨,道路冠水,2001年6月7日,31,,千葉県柏市酒井根2-31 ,139.9691,35.82063,2001
460,酒井根,3,10付近,大雨,道路冠水,2001年6月7日,10,,千葉県柏市酒井根3-10 ,139.96472,35.82032,2001
461,酒井根,3,10付近,集中豪雨,道路冠水,2010年9月16日,10,,千葉県柏市酒井根3-10 ,139.96472,35.82032,2010
462,酒井根,6,7付近,大雨,床下浸水,2002年9月12日,7,,千葉県柏市酒井根6-7 ,139.9584,35.82309,2002
463,酒井根,6,9付近,台風26号,道路冠水,2013年10月15日,9,,千葉県柏市酒井根6-9 ,139.95929,35.82339,2013
464,酒井根,6,10付近,大雨,床下浸水,2002年9月12日,10,,千葉県柏市酒井根6-10 ,139.95973,35.8228,2002
465,酒井根,6,10付近,集中豪雨,店舗浸水,2008年8月30日,10,,千葉県柏市酒井根6-10 ,139.95973,35.8228,2008
466,酒井根,6,10付近,集中豪雨,道路冠水,2008年8月30日,10,,千葉県柏市酒井根6-10 ,139.95973,35.8228,2008
467,酒井根,6,12付近,台風22号,床下浸水,2004年10月9日,12,,千葉県柏市酒井根6-12 ,139.95923,35.82261,2004
468,酒井根,6,13付近,大雨,床下浸水,2002年9月12日,13,,千葉県柏市酒井根6-13 ,139.9593,35.82239,2002
469,酒井根,6,13付近,大雨,床下浸水,2002年9月12日,13,,千葉県柏市酒井根6-13 ,139.9593,35.82239,2002
470,酒井根,6,22付近,台風22号,床下浸水,2004年10月9日,22,,千葉県柏市酒井根6-22 ,139.95598,35.82304,2004
471,酒井根,6,23付近,大雨,道路冠水,2001年6月7日,23,,千葉県柏市酒井根6-23 ,139.95621,35.82339,2001
472,酒井根,6,26付近,大雨,床上浸水,2002年9月12日,26,,千葉県柏市酒井根6-26 ,139.95564,35.82352,2002
473,酒井根,6,26付近,大雨,床下浸水,2002年9月12日,26,,千葉県柏市酒井根6-26 ,139.95564,35.82352,2002
474,酒井根,6,26付近,集中豪雨,道路冠水,2003年10月13日,26,,千葉県柏市酒井根6-26 ,139.95564,35.82352,2003
475,酒井根,6,26付近,大雨,床下浸水,2008年7月7日,26,,千葉県柏市酒井根6-26 ,139.95564,35.82352,2008
476,酒井根,6,26付近,大雨,床下浸水,2008年7月7日,26,,千葉県柏市酒井根6-26 ,139.95564,35.82352,2008
477,酒井根,6,26付近,集中豪雨,床上浸水,2008年8月30日,26,,千葉県柏市酒井根6-26 ,139.95564,35.82352,2008
478,酒井根,7,1付近,大雨,床下浸水,2002年9月12日,1,,千葉県柏市酒井根7-1 ,139.95944,35.82207,2002
479,酒井根,7,1付近,集中豪雨,床下浸水,2003年10月13日,1,,千葉県柏市酒井根7-1 ,139.95944,35.82207,2003
480,酒井根,7,2付近,大雨,道路冠水,2000年7月2日,2,,千葉県柏市酒井根7-2 ,139.95876,35.82164,2000
481,酒井根,7,2付近,台風3号,道路冠水,2000年7月7日,2,,千葉県柏市酒井根7-2 ,139.95876,35.82164,2000
482,酒井根,7,2付近,大雨,道路冠水,2001年6月7日,2,,千葉県柏市酒井根7-2 ,139.95876,35.82164,2001
483,酒井根,7,2付近,集中豪雨,道路冠水,2003年10月14日,2,,千葉県柏市酒井根7-2 ,139.95876,35.82164,2003
484,酒井根,7,6付近,台風3号,道路冠水,2000年7月7日,6,,千葉県柏市酒井根7-6 ,139.95882,35.81976,2000
485,酒井根,7,9付近,台風21号,道路冠水,1991年10月11日,9,,千葉県柏市酒井根7-9 ,139.95819,35.82082,1991
486,酒井根,,10付近,台風18号,道路冠水,2014年10月6日,10,,千葉県柏市酒井根10 ,139.96094,35.8191,2014
487,酒井根,,19付近,大雨,道路冠水,2008年5月20日,19,,千葉県柏市酒井根19 ,139.96255,35.81942,2008
488,酒井根,,373付近,集中豪雨,店舗浸水,2007年6月10日,373,,千葉県柏市酒井根373 ,139.94969,35.8258,2007
489,酒井根,,392付近,集中豪雨,店舗浸水,2007年6月10日,392,,千葉県柏市酒井根392 ,139.95782,35.81815,2007
490,酒井根,,392付近,集中豪雨,店舗浸水,2007年6月10日,392,,千葉県柏市酒井根392 ,139.95782,35.81815,2007
491,酒井根,,392付近,集中豪雨,店舗浸水,2007年6月10日,392,,千葉県柏市酒井根392 ,139.95782,35.81815,2007
492,酒井根,,392付近,集中豪雨,店舗浸水,2008年8月30日,392,,千葉県柏市酒井根392 ,139.95782,35.81815,2008
493,酒井根,,393付近,集中豪雨,店舗浸水,2007年6月10日,393,,千葉県柏市酒井根393 ,139.94969,35.8258,2007
494,酒井根,,393付近,集中豪雨,店舗浸水,2007年6月10日,393,,千葉県柏市酒井根393 ,139.94969,35.8258,2007
495,酒井根,,393付近,集中豪雨,床上浸水,2007年6月10日,393,,千葉県柏市酒井根393 ,139.94969,35.8258,2007
496,逆井,1,1付近,大雨,床下浸水,2003年10月13日,1,,千葉県柏市逆井1-1 ,139.98293,35.8233,2003
497,逆井,1,1付近,台風21号,床下浸水,2004年9月30日,1,,千葉県柏市逆井1-1 ,139.98293,35.8233,2004
498,逆井,1,1付近,台風22号,床上浸水,2004年10月9日,1,,千葉県柏市逆井1-1 ,139.98293,35.8233,2004
499,逆井,1,3付近,集中豪雨,床下浸水,2008年8月30日,3,,千葉県柏市逆井1-3 ,139.98355,35.82287,2008
500,逆井,1,5付近,集中豪雨,道路冠水,2008年8月30日,5,,千葉県柏市逆井1-5 ,139.98251,35.82254,2008
501,逆井,1,5付近,集中豪雨,床上浸水,2008年8月30日,5,,千葉県柏市逆井1-5 ,139.98251,35.82254,2008
502,逆井,1,5付近,集中豪雨,床上浸水,2008年8月30日,5,,千葉県柏市逆井1-5 ,139.98251,35.82254,2008
503,逆井,1,5付近,集中豪雨,床上浸水,2008年8月30日,5,,千葉県柏市逆井1-5 ,139.98251,35.82254,2008
504,逆井,1,5付近,集中豪雨,床下浸水,2008年8月30日,5,,千葉県柏市逆井1-5 ,139.98251,35.82254,2008
505,逆井,1,5付近,集中豪雨,床下浸水,2008年8月30日,5,,千葉県柏市逆井1-5 ,139.98251,35.82254,2008
506,逆井,1,6付近,台風18号,道路冠水,1991年9月19日,6,,千葉県柏市逆井1-6 ,139.98196,35.8228,1991
507,逆井,1,6付近,,道路冠水,1996年9月6日,6,,千葉県柏市逆井1-6 ,139.98196,35.8228,1996
508,逆井,1,6付近,大雨,道路冠水,2000年7月2日,6,,千葉県柏市逆井1-6 ,139.98196,35.8228,2000
509,逆井,1,6付近,台風3号,道路冠水,2000年7月7日,6,,千葉県柏市逆井1-6 ,139.98196,35.8228,2000
510,逆井,1,6付近,台風21号,床下浸水,2004年9月30日,6,,千葉県柏市逆井1-6 ,139.98196,35.8228,2004
511,逆井,1,14付近,集中豪雨,床下浸水,2008年8月30日,14,,千葉県柏市逆井1-14 ,139.98433,35.82083,2008
512,逆井,1,14付近,集中豪雨,床下浸水,2008年8月30日,14,,千葉県柏市逆井1-14 ,139.98433,35.82083,2008
513,逆井,1,17付近,集中豪雨,床下浸水,2008年8月30日,17,,千葉県柏市逆井1-17 ,139.9856,35.82133,2008
514,逆井,1,17付近,集中豪雨,床下浸水,2008年8月30日,17,,千葉県柏市逆井1-17 ,139.9856,35.82133,2008
515,逆井,2,5付近,台風11号,道路冠水,1993年8月26日,5,,千葉県柏市逆井2-5 ,139.98149,35.82536,1993
516,逆井,2,24付近,,道路冠水,1999年5月27日,24,,千葉県柏市逆井2-24 ,139.97853,35.82346,1999
517,逆井,4,11付近,集中豪雨,床上浸水,2008年8月30日,11,,千葉県柏市逆井4-11 ,139.97755,35.82016,2008
518,逆井,4,19付近,集中豪雨,道路冠水,2003年10月13日,19,,千葉県柏市逆井4-19 ,139.97839,35.81786,2003
519,逆井,4,19付近,台風22号,床下浸水,2004年10月9日,19,,千葉県柏市逆井4-19 ,139.97839,35.81786,2004
520,逆井,4,19付近,集中豪雨,道路冠水,2008年8月30日,19,,千葉県柏市逆井4-19 ,139.97839,35.81786,2008
521,逆井,4,19付近,集中豪雨,床上浸水,2008年8月30日,19,,千葉県柏市逆井4-19 ,139.97839,35.81786,2008
522,逆井,4,19付近,集中豪雨,床上浸水,2008年8月30日,19,,千葉県柏市逆井4-19 ,139.97839,35.81786,2008
523,逆井,4,19付近,集中豪雨,床下浸水,2008年8月30日,19,,千葉県柏市逆井4-19 ,139.97839,35.81786,2008
524,逆井,4,19付近,集中豪雨,床下浸水,2008年8月30日,19,,千葉県柏市逆井4-19 ,139.97839,35.81786,2008
525,逆井,4,19付近,集中豪雨,床下浸水,2008年8月30日,19,,千葉県柏市逆井4-19 ,139.97839,35.81786,2008
526,逆井,4,19付近,集中豪雨,床下浸水,2008年8月30日,19,,千葉県柏市逆井4-19 ,139.97839,35.81786,2008
527,逆井,4,19付近,集中豪雨,床下浸水,2008年8月30日,19,,千葉県柏市逆井4-19 ,139.97839,35.81786,2008
528,逆井,4,19付近,集中豪雨,床下浸水,2008年8月30日,19,,千葉県柏市逆井4-19 ,139.97839,35.81786,2008
529,逆井,4,19付近,集中豪雨,床下浸水,2008年8月30日,19,,千葉県柏市逆井4-19 ,139.97839,35.81786,2008
530,逆井,4,25付近,大雨,道路冠水,2001年6月8日,25,,千葉県柏市逆井4-25 ,139.98019,35.82114,2001
531,逆井,4,35付近,集中豪雨,道路冠水,2003年10月13日,35,,千葉県柏市逆井4-35 ,139.97926,35.82019,2003
532,逆井,4,35付近,台風22号,床下浸水,2004年10月9日,35,,千葉県柏市逆井4-35 ,139.97926,35.82019,2004
533,逆井,5,25付近,台風17号,道路冠水,1996年9月22日,25,,千葉県柏市逆井5-25 ,139.98712,35.8199,1996
534,逆井,,439付近,集中豪雨,店舗浸水,2007年6月10日,439,,千葉県柏市逆井439 ,139.97826,35.81202,2007
535,逆井,,439付近,集中豪雨,店舗浸水,2007年6月10日,439,,千葉県柏市逆井439 ,139.97826,35.81202,2007
536,逆井,,439付近,集中豪雨,店舗浸水,2008年8月30日,439,,千葉県柏市逆井439 ,139.97826,35.81202,2008
537,逆井,,476付近,台風17号,道路冠水,1996年9月22日,476,,千葉県柏市逆井476 ,139.98174,35.81273,1996
538,逆井,,536付近,台風18号,道路冠水,1991年9月19日,536,,千葉県柏市逆井536 ,139.9845,35.81723,1991
539,逆井,,1300付近,大雨,道路冠水,2011年8月26日,1300,,千葉県柏市逆井1300 ,139.97594,35.81246,2011
540,逆井,,1305付近,台風19号,道路冠水,2019年10月12日,1305,,千葉県柏市逆井1305 ,139.97594,35.81246,2019
541,逆井,,1843付近,大雨,道路冠水,2015年9月7~8日,1843,,千葉県柏市逆井1843 ,139.98375,35.81144,2015
542,逆井,,1846付近,集中豪雨,道路冠水,2010年9月27日,1846,,千葉県柏市逆井1846 ,139.98375,35.81144,2010
543,桜台,,3付近,台風15号,道路冠水,2001年9月10日,3,,千葉県柏市桜台3 ,139.98193,35.8597,2001
544,篠籠田,,119付近,台風15号,道路冠水,1991年9月8日,119,,千葉県柏市篠籠田119 ,139.97057,35.87134,1991
545,篠籠田,,119付近,台風18号,道路冠水,1991年9月19日,119,,千葉県柏市篠籠田119 ,139.97057,35.87134,1991
546,篠籠田,,119付近,台風11号,道路冠水,1993年8月26日,119,,千葉県柏市篠籠田119 ,139.97057,35.87134,1993
547,篠籠田,,130付近,,道路冠水,1996年7月3日,130,,千葉県柏市篠籠田130 ,139.96913,35.87187,1996
548,篠籠田,,479付近,大雨,道路冠水,2000年7月2日,479,,千葉県柏市篠籠田479 ,139.96214,35.87072,2000
549,篠籠田,,479付近,集中豪雨,道路冠水,2008年8月28日,479,,千葉県柏市篠籠田479 ,139.96214,35.87072,2008
550,篠籠田,,606付近,大雨,道路冠水,2000年7月2日,606,,千葉県柏市篠籠田606 ,139.96472,35.87177,2000
551,篠籠田,,614付近,台風11号,道路冠水,1993年8月26日,614,,千葉県柏市篠籠田614 ,139.96375,35.87254,1993
552,篠籠田,,615付近,台風18号,道路冠水,1991年9月19日,615,,千葉県柏市篠籠田615 ,139.95927,35.87306,1991
553,篠籠田,,615付近,,道路冠水,1992年10月8日,615,,千葉県柏市篠籠田615 ,139.95927,35.87306,1992
554,篠籠田,,615付近,台風17号,道路冠水,1996年9月22日,615,,千葉県柏市篠籠田615 ,139.95927,35.87306,1996
555,篠籠田,,647付近,集中豪雨,道路冠水,2008年8月28日,647,,千葉県柏市篠籠田647 ,139.95927,35.87306,2008
556,篠籠田,,1008付近,台風18号,道路冠水,1991年9月19日,1008,,千葉県柏市篠籠田1008 ,139.95114,35.86439,1991
557,篠籠田,,1175付近,台風18号,道路冠水,1991年9月19日,1175,,千葉県柏市篠籠田1175 ,139.95927,35.87306,1991
558,篠籠田,,1392付近,,道路冠水,1999年9月22日,1392,,千葉県柏市篠籠田1392 ,139.94681,35.86922,1999
559,篠籠田,,1429付近,大雨,道路冠水,2011年8月19日,1429,,千葉県柏市篠籠田1429 ,139.94456,35.87106,2011
560,篠籠田,,1441付近,集中豪雨,道路冠水,2007年6月10日,1441,,千葉県柏市篠籠田1441 ,139.94456,35.87106,2007
561,篠籠田,,1441付近,集中豪雨,床下浸水,2007年6月10日,1441,,千葉県柏市篠籠田1441 ,139.94456,35.87106,2007
562,篠籠田,,1441付近,集中豪雨,床下浸水,2007年6月10日,1441,,千葉県柏市篠籠田1441 ,139.94456,35.87106,2007
563,篠籠田,,1441付近,集中豪雨,床下浸水,2008年8月30日,1441,,千葉県柏市篠籠田1441 ,139.94456,35.87106,2008
564,篠籠田,,1441付近,大雨,床下浸水,2011年7月1日,1441,,千葉県柏市篠籠田1441 ,139.94456,35.87106,2011
565,篠籠田,,1441付近,大雨,床下浸水,2011年8月26日,1441,,千葉県柏市篠籠田1441 ,139.94456,35.87106,2011
566,篠籠田,,1450付近,,道路冠水,1990年8月12日,1450,,千葉県柏市篠籠田1450 ,139.94456,35.87106,1990
567,篠籠田,,1450付近,,道路冠水,1990年9月13日,1450,,千葉県柏市篠籠田1450 ,139.94456,35.87106,1990
568,篠籠田,,1450付近,台風18号,道路冠水,1991年9月19日,1450,,千葉県柏市篠籠田1450 ,139.94456,35.87106,1991
569,篠籠田,,1513付近,,道路冠水,1999年7月13日,1513,,千葉県柏市篠籠田1513 ,139.94543,35.8725,1999
570,宿連寺,,52付近,,道路冠水,1996年7月3日,52,,千葉県柏市宿連寺52 ,139.98065,35.88728,1996
571,宿連寺,,52付近,台風3号,道路冠水,2000年7月7日,52,,千葉県柏市宿連寺52 ,139.98065,35.88728,2000
572,宿連寺,,261付近,集中豪雨,店舗浸水,2007年6月10日,261,,千葉県柏市宿連寺261 ,139.98439,35.88676,2007
573,宿連寺,,261付近,集中豪雨,店舗浸水,2007年6月10日,261,,千葉県柏市宿連寺261 ,139.98439,35.88676,2007
574,宿連寺,,291付近,集中豪雨,道路冠水,2007年6月10日,291,,千葉県柏市宿連寺291 ,139.98181,35.8882,2007
575,宿連寺,,291付近,集中豪雨,床上浸水,2007年6月10日,291,,千葉県柏市宿連寺291 ,139.98181,35.8882,2007
576,宿連寺,,429付近,台風11号,道路冠水,2001年8月21日,429,,千葉県柏市宿連寺429 ,139.98326,35.88842,2001
577,正連寺,,238付近,大雨,道路冠水,2021年3月13日,238,,千葉県柏市正連寺238 ,139.95372,35.90631,2021
578,正連寺,,242付近,台風18号,道路冠水,1991年9月19日,242,,千葉県柏市正連寺242 ,139.95146,35.90494,1991
579,正連寺,,242付近,集中豪雨,店舗浸水,2008年8月28日,242,,千葉県柏市正連寺242 ,139.95146,35.90494,2008
580,正連寺,,242付近,集中豪雨,床下浸水,2008年8月28日,242,,千葉県柏市正連寺242 ,139.95146,35.90494,2008
581,正連寺,,242付近,大雨・台風9号,道路冠水,2009年8月10日,242,,千葉県柏市正連寺242 ,139.95146,35.90494,2009
582,正連寺,,242付近,台風18号,道路冠水,2009年10月8日,242,,千葉県柏市正連寺242 ,139.95146,35.90494,2009
583,正連寺,,242付近,大雨,道路冠水,2017年7月26日,242,,千葉県柏市正連寺242 ,139.95146,35.90494,2017
584,正連寺,,242付近,大雨,床下浸水,2021年3月13日,242,,千葉県柏市正連寺242 ,139.95146,35.90494,2021
585,正連寺,,242付近,大雨,道路冠水,2015年9月7~8日,242,,千葉県柏市正連寺242 ,139.95146,35.90494,2015
586,正連寺,,249付近,集中豪雨,店舗浸水,2008年8月28日,249,,千葉県柏市正連寺249 ,139.95372,35.90631,2008
587,正連寺,,262付近,集中豪雨,店舗浸水,2008年8月28日,262,,千葉県柏市正連寺262 ,139.95372,35.90631,2008
588,正連寺,,262付近,集中豪雨,道路冠水,2008年8月28日,262,,千葉県柏市正連寺262 ,139.95372,35.90631,2008
589,正連寺,,262付近,大雨,道路冠水,2012年9月6日,262,,千葉県柏市正連寺262 ,139.95372,35.90631,2012
590,正連寺,,262付近,大雨,道路冠水,2021年7月30日,262,,千葉県柏市正連寺262 ,139.95372,35.90631,2021
591,正連寺,,262付近,集中豪雨,道路冠水,2021年8月23日,262,,千葉県柏市正連寺262 ,139.95372,35.90631,2021
592,正連寺,,414付近,集中豪雨,道路冠水,2008年8月28日,414,,千葉県柏市正連寺414 ,139.94679,35.90253,2008
593,新柏,4,14付近,集中豪雨,床下浸水,2007年6月10日,14,,千葉県柏市新柏4-14 ,139.97795,35.84498,2007
594,新柏,4,14付近,集中豪雨,道路冠水,2008年8月30日,14,,千葉県柏市新柏4-14 ,139.97795,35.84498,2008
595,新柏,4,14付近,台風18号,道路冠水,2009年10月8日,14,,千葉県柏市新柏4-14 ,139.97795,35.84498,2009
596,新柏,4,14付近,大雨,道路冠水,2011年8月26日,14,,千葉県柏市新柏4-14 ,139.97795,35.84498,2011
597,新柏,4,14付近,大雨,道路冠水,2012年5月10日,14,,千葉県柏市新柏4-14 ,139.97795,35.84498,2012
598,新柏,,14付近,大雨,道路冠水,2014年6月25日,14,,千葉県柏市新柏14 ,139.9686,35.83921,2014
599,新逆井,1,35付近,,道路冠水,1996年9月6日,35,,千葉県柏市新逆井1-35 ,139.96893,35.81189,1996
600,新富町,1,1付近,台風18号,道路冠水,2014年10月6日,1,,千葉県柏市新富町1-1 ,139.95625,35.84961,2014
601,新富町,1,7付近,集中豪雨,床下浸水,2008年8月30日,7,,千葉県柏市新富町1-7 ,139.95734,35.8507,2008
602,新富町,1,7付近,集中豪雨,床下浸水,2008年8月30日,7,,千葉県柏市新富町1-7 ,139.95734,35.8507,2008
603,新富町,1,7付近,集中豪雨,床下浸水,2008年8月30日,7,,千葉県柏市新富町1-7 ,139.95734,35.8507,2008
604,新富町,1,7付近,集中豪雨,床下浸水,2008年8月30日,7,,千葉県柏市新富町1-7 ,139.95734,35.8507,2008
605,新富町,1,7付近,集中豪雨,床下浸水,2008年8月30日,7,,千葉県柏市新富町1-7 ,139.95734,35.8507,2008
606,新富町,1,7付近,集中豪雨,床下浸水,2008年8月30日,7,,千葉県柏市新富町1-7 ,139.95734,35.8507,2008
607,新富町,1,9付近,集中豪雨,店舗浸水,2008年8月30日,9,,千葉県柏市新富町1-9 ,139.95717,35.8517,2008
608,新富町,1,9付近,集中豪雨,床下浸水,2008年8月30日,9,,千葉県柏市新富町1-9 ,139.95717,35.8517,2008
609,新富町,1,11付近,台風18号,道路冠水,1991年9月19日,11,,千葉県柏市新富町1-11 ,139.95644,35.85297,1991
610,新富町,2,14付近,台風9号,道路冠水,2016年8月22日,14,,千葉県柏市新富町2-14 ,139.95123,35.85578,2016
611,新富町,2,16付近,,道路冠水,1996年7月3日,16,,千葉県柏市新富町2-16 ,139.95027,35.85674,1996
612,新十余二,,410付近,集中豪雨,道路冠水,2021年8月23日,410,,千葉県柏市新十余二410 ,139.94681,35.90791,2021
613,関場町,,3付近,大雨,道路冠水,2006年7月14日,3,,千葉県柏市関場町3 ,139.98363,35.85062,2006
614,関場町,,6付近,大雨,道路冠水,2006年7月14日,6,,千葉県柏市関場町6 ,139.98341,35.84948,2006
615,高田,,19付近,台風18号,道路冠水,1991年9月19日,19,,千葉県柏市高田19 ,139.94228,35.87213,1991
616,高田,,19付近,台風17号,道路冠水,1996年9月22日,19,,千葉県柏市高田19 ,139.94228,35.87213,1996
617,高田,,726付近,台風15号,道路冠水,1991年9月8日,726,,千葉県柏市高田726 ,139.96185,35.8746,1991
618,高田,,726付近,台風18号,道路冠水,1991年9月18日,726,,千葉県柏市高田726 ,139.96185,35.8746,1991
619,高田,,726付近,台風21号,道路冠水,1991年10月11日,726,,千葉県柏市高田726 ,139.96185,35.8746,1991
620,高田,,726付近,,道路冠水,1992年10月8日,726,,千葉県柏市高田726 ,139.96185,35.8746,1992
621,高田,,726付近,,道路冠水,1992年12月8日,726,,千葉県柏市高田726 ,139.96185,35.8746,1992
622,高田,,726付近,台風11号,道路冠水,1993年8月26日,726,,千葉県柏市高田726 ,139.96185,35.8746,1993
623,高田,,726付近,,道路冠水,1993年11月14日,726,,千葉県柏市高田726 ,139.96185,35.8746,1993
624,高田,,992付近,集中豪雨,店舗浸水,2007年6月10日,992,,千葉県柏市高田992 ,139.96577,35.87365,2007
625,高田,,992付近,集中豪雨,店舗浸水,2008年8月28日,992,,千葉県柏市高田992 ,139.96577,35.87365,2008
626,高田,,1013付近,大雨,道路冠水,2011年7月1日,1013,,千葉県柏市高田1013 ,139.96147,35.87975,2011
